a,b,theta,status
7.0,7.0,10.0,NotYet
7.4,6.6,20.0,NotYet
7.7,6.3,25.0,NotYet
7.7,6.3,25.5,NotYet
8.0,6.1,30.0,NotYet
8.5,5.8,35.0,NotYet
9.0,5.7,40.0,NotYet
10.2,5.1,45.0,NotYet
11.5,4.6,50.0,NotYet
12.3,4.3,55.0,NotYet
13.0,4.1,60.0,NotYet
13.5,3.9,65.0,NotYet
13.9,3.8,70.0,NotYet
14.3,3.8,80.0,NotYet
3.9,13.0,10.0,NotYet
3.9,12.6,20.0,NotYet
3.9,12.3,25.0,NotYet
4.1,11.8,30.0,NotYet
4.3,11.2,35.0,NotYet
4.7,10.5,40.0,NotYet
5.0,9.8,45.0,NotYet
5.4,9.1,50.0,NotYet
5.7,8.5,55.0,NotYet
6.0,8.0,60.0,NotYet
6.3,7.6,65.0,NotYet
6.6,7.3,70.0,NotYet
7.0,7.1,80.0,NotYet
7.7,6.3,25.0,NotYet
9.0,5.7,40.0,NotYet
7.7,7.1,45.0,NotYet
5.4,9.1,50.0,NotYet
5.7,8.5,55.0,NotYet
