a,b,theta,E,E_p,E_t,machine_type,status,file_name
7.0,7.2,10.0,-30.59286953,-0.39471634,-7.450859212,2,Done,BTBT_theta=10.0_a=7.0_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.4,10.0,-23.86290008,-6.263114559,-2.83416774,2,Done,BTBT_theta=10.0_a=3.5_b=13.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.0,7.3,10.0,-30.30039967,-0.39471634,-7.377741747,2,Done,BTBT_theta=10.0_a=7.0_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.5,10.0,-23.84184084,-6.263114559,-2.828902932,2,Done,BTBT_theta=10.0_a=3.5_b=13.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.0,7.4,10.0,-30.00434045,-0.39471634,-7.303726942,2,Done,BTBT_theta=10.0_a=7.0_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.6,10.0,-23.77128362,-6.263114559,-2.811263625,2,Done,BTBT_theta=10.0_a=3.5_b=13.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,7.2,10.0,-30.35686302,-0.35421057,-7.412110469,2,Done,BTBT_theta=10.0_a=7.1_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.4,10.0,-27.34623319,-7.902020077,-2.885548259,2,Done,BTBT_theta=10.0_a=3.6_b=13.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,7.3,10.0,-30.03339416,-0.35421057,-7.331243256,2,Done,BTBT_theta=10.0_a=7.1_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,7.4,10.0,-29.7096241,-0.35421057,-7.250300741,2,Done,BTBT_theta=10.0_a=7.1_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.5,10.0,-27.28257857,-7.902020077,-2.869634605,2,Done,BTBT_theta=10.0_a=3.6_b=13.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.6,10.0,-27.17492296,-7.902020077,-2.842720702,2,Done,BTBT_theta=10.0_a=3.6_b=13.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,7.2,10.0,-34.0520937,-2.363949397,-7.331048727,2,Done,BTBT_theta=10.0_a=7.2_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.4,10.0,-29.18340677,-8.733295124,-2.92920413,2,Done,BTBT_theta=10.0_a=3.7_b=13.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,7.3,10.0,-29.61778174,-0.317714588,-7.245588141,2,Done,BTBT_theta=10.0_a=7.2_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.5,10.0,-29.08052023,-8.733295124,-2.903482495,2,Done,BTBT_theta=10.0_a=3.7_b=13.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,7.4,10.0,-29.27056791,-0.317714588,-7.158784682,2,Done,BTBT_theta=10.0_a=7.2_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.6,10.0,-28.93892887,-8.733295124,-2.868084656,2,Done,BTBT_theta=10.0_a=3.7_b=13.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,7.1,10.0,-34.5634767,-2.298644431,-7.49154696,2,Done,BTBT_theta=10.0_a=7.1_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.3,10.0,-27.35983761,-7.902020077,-2.888949363,2,Done,BTBT_theta=10.0_a=3.6_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,7.1,10.0,-34.26485724,-2.298644431,-7.416892096,2,Done,BTBT_theta=10.0_a=7.2_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.3,10.0,-29.2417652,-8.733295124,-2.943793737,2,Done,BTBT_theta=10.0_a=3.7_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
