a,b,theta,E,E_t,machine_type,status,file_name,E_p1,E_p2
7.0,7.0,70.0,-37.56712862057611,-7.491270856116898,2,Done,BTBT_a=7.0_b=7.0_theta=70.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.534167887410149,-3.266854710644111
3.5,13.0,20.0,-27.46537223737687,-3.0247550775529817,2,Done,BTBT_a=3.5_b=13.0_theta=20.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0346950276289135,-7.648480935953557
6.5,6.5,10.0,-24.02919022832065,-6.378432071651332,2,Done,BTBT_a=6.5_b=6.5_theta=10.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,1.4112135143950582,-0.6689444852527231
6.5,7.0,70.0,-38.242843938060105,-7.580044695641845,1,Done,BTBT_a=6.5_b=7.0_theta=70.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.534167887410149,-3.4271646903362125
7.0,6.5,25.0,-35.3967472310178,-6.4300824196543545,1,Done,BTBT_a=7.0_b=6.5_theta=25.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-4.186169410590082,-0.6520393656101078
7.0,7.0,65.0,-36.789141721092165,-7.266804253682494,1,Done,BTBT_a=7.0_b=7.0_theta=65_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.6520393656101078,-3.208922987570986
3.5,13.0,15.0,-26.013050543610007,-2.908753578667529,2,Done,BTBT_a=3.5_b=13.0_theta=15_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.028300701174885,-7.16071741329506
3.5,13.5,5.0,-22.08205180009827,-2.8645203991327435,2,Done,BTBT_a=3.5_b=13.5_theta=5_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0125753001775592,-5.299409801606089
6.5,6.5,5.0,-19.753763794898987,-6.892858494422399,2,Done,BTBT_a=6.5_b=6.5_theta=5_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,4.527735654031858,-0.6189005626365542
6.5,7.0,65.0,-36.793760194443166,-6.7793356605106965,1,Done,BTBT_a=6.5_b=7.0_theta=65_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.6520393656101078,-4.186169410590082
7.0,7.0,75.0,-36.892003159970045,-7.5417289348552,1,Done,BTBT_a=7.0_b=7.0_theta=75_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.4474711057264358,-2.915072604548186
7.0,6.5,20.0,-37.020253654103726,-7.274397124652751,1,Done,BTBT_a=7.0_b=6.5_theta=20_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-3.4271646903362125,-0.534167887410149
3.5,13.5,15.0,-25.96104251546785,-2.899146400857717,2,Done,BTBT_a=3.5_b=13.5_theta=15_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0215110427234321,-7.16071741329506
3.5,13.0,25.0,-25.23808824457228,-3.0718371528200805,2,Done,BTBT_a=3.5_b=13.0_theta=25_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0397151079960167,-6.435654708649963
6.5,6.5,15.0,-26.10675033694133,-5.3753573367139325,2,Done,BTBT_a=6.5_b=6.5_theta=15_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-1.5475965372752398,-0.7550639577675611
6.5,7.0,75.0,-35.88197561446577,-7.972960082115605,1,Done,BTBT_a=6.5_b=7.0_theta=75_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.4474711057264358,-1.5475965372752398
