a,b,theta,E,E_p1,E_t,machine_type,status,file_name
6.3,7.3,5,-63.11004868,-3.338121021,-14.10845166,2,Done,hexacene_theta=5_a=6.3_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.2,5,-63.36772938,-3.300231968,-14.19181636,2,Done,hexacene_theta=5_a=6.4_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.2,5,-63.10357278,-3.300231968,-14.12577721,2,Done,hexacene_theta=5_a=6.3_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.3,5,-63.24192616,-3.338121021,-14.14142103,2,Done,hexacene_theta=5_a=6.4_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.4,5,-62.79177562,-3.232561289,-14.08166326,2,Done,hexacene_theta=5_a=6.3_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,7.3,5,-62.42382884,-3.338121021,-13.9368967,2,Done,hexacene_theta=5_a=6.2_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,7.4,5,-62.25994834,-3.232561289,-13.94870644,2,Done,hexacene_theta=5_a=6.2_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,7.2,5,-62.25538006,-3.300231968,-13.91372903,2,Done,hexacene_theta=5_a=6.2_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.4,5,-62.79787498,-3.232561289,-14.0831881,2,Done,hexacene_theta=5_a=6.4_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.3,5,-62.92227256,-3.338121021,-14.06150763,2,Done,hexacene_theta=5_a=6.5_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.5,5,-62.22917524,-3.023111001,-14.04573831,2,Done,hexacene_theta=5_a=6.3_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.4,5,-62.3779453,-3.232561289,-13.97820568,2,Done,hexacene_theta=5_a=6.5_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
