X,Y,Z,R
0.083198425,-1.973401185,-0.683726435,1.8
-0.00585133,1.979726247,0.691853801,1.8
-0.012214879,-1.367230786,-3.408085327,1.7
-0.030080404,-0.437469521,-4.436746259,1.7
-0.012927152,0.920150792,-4.101607845,1.7
0.025816768,1.356700656,-2.813382416,1.7
0.012160865,-1.357324519,2.813045338,1.7
-0.027889923,-0.931651843,4.103984612,1.7
-0.032885609,0.433156758,4.411121915,1.7
-0.011160817,1.375083555,3.414676172,1.7
0.017725305,0.951405948,2.101658317,1.7
0.037344869,-0.42732895,1.771919384,1.7
0.063023677,-0.581550691,0.353605283,1.7
0.043590726,0.593948756,-0.35355478,1.7
0.032892079,0.430459499,-1.76571265,1.7
0.036301711,-0.94502299,-2.097762777,1.7
-0.040871687,-2.43629544,-3.639137436,1.2
-0.033856001,1.653059978,-4.913942367,1.2
0.031977288,2.426373332,-2.588545563,1.2
0.020360074,-2.425203465,2.578251042,1.2
-0.051451566,-1.661398406,4.916451141,1.2
-0.05896751,0.751553323,5.455455171,1.2
-0.023086926,2.441047862,3.654159317,1.2
-0.16089366,-0.903942452,-5.871464957,1.7
0.964161699,-1.686656621,-6.425015189,1.7
0.713394618,-2.210560901,-7.828642212,1.7
1.73475975,-3.074707249,-8.406019284,1.7
1.429799231,-3.601384534,-9.784465365,1.7
2.421069052,-4.459022641,-10.41723126,1.7
2.077318701,-4.988723047,-11.77807605,1.7
3.103615906,-5.819779696,-12.42237096,1.7
2.86025377,-6.285730136,-13.67892531,1.7
-0.346010376,-0.018363587,-6.506464873,1.2
-1.0882057,-1.505451586,-5.944892557,1.2
1.888617199,-1.078342158,-6.416321116,1.2
1.185580905,-2.546113442,-5.762357916,1.2
0.536394851,-1.342472868,-8.496328824,1.2
-0.258427353,-2.746934462,-7.819174421,1.2
2.706983809,-2.540657507,-8.437696172,1.2
1.919707847,-3.936888229,-7.732298017,1.2
1.221453884,-2.733387991,-10.44494025,1.2
0.457770208,-4.136384762,-9.736984261,1.2
3.387893044,-3.917866515,-10.48895738,1.2
2.645671241,-5.32072551,-9.753843313,1.2
1.833344324,-4.131060804,-12.44067409,1.2
1.126171423,-5.557887341,-11.71284615,1.2
3.327317242,-6.661960679,-11.72972422,1.2
4.05278315,-5.238355536,-12.40223421,1.2
3.680352937,-6.899558062,-14.08932001,1.2
2.694328264,-5.478963892,-14.42017277,1.2
1.954557126,-6.92105847,-13.74369281,1.2
