a,b,theta,A1,A2,phi1,status
7.9,6.1,28.5,2,-6,38,NotYet
7.9,6.1,28.5,2,-6,40,NotYet
7.9,6.1,28.5,2,-6,36,NotYet
7.9,6.1,28.5,2,-6,42,NotYet
7.9,6.1,28.5,2,-6,34,NotYet
7.9,6.1,28.5,3,-6,35,NotYet
7.9,6.1,28.5,3,-6,37,NotYet
7.9,6.1,28.5,3,-6,33,NotYet
7.9,6.1,28.5,3,-6,39,NotYet
7.9,6.1,28.5,3,-6,31,NotYet
7.9,6.1,28.5,1,-6,40,NotYet
7.9,6.1,28.5,1,-6,42,NotYet
7.9,6.1,28.5,1,-6,38,NotYet
7.9,6.1,28.5,1,-6,44,NotYet
7.9,6.1,28.5,1,-6,36,NotYet
7.9,6.1,28.5,4,-6,33,NotYet
7.9,6.1,28.5,4,-6,35,NotYet
7.9,6.1,28.5,4,-6,31,NotYet
7.9,6.1,28.5,4,-6,37,NotYet
7.9,6.1,28.5,4,-6,29,NotYet
7.9,6.1,28.5,0,-6,43,NotYet
7.9,6.1,28.5,0,-6,45,NotYet
7.9,6.1,28.5,0,-6,41,NotYet
7.9,6.1,28.5,0,-6,47,NotYet
7.9,6.1,28.5,0,-6,39,NotYet
