phi1,phib,a,b,A1,A2,theta,status
39,113,7.8,6.2,2,-6,26.5,NotYet
39,114,7.8,6.2,2,-6,26.5,NotYet
39,115,7.8,6.2,2,-6,26.5,NotYet
39,116,7.8,6.2,2,-6,26.5,NotYet
39,113,7.8,6.2,2,-6,27.5,NotYet
39,114,7.8,6.2,2,-6,27.5,NotYet
39,115,7.8,6.2,2,-6,27.5,NotYet
39,116,7.8,6.2,2,-6,27.5,NotYet
39,113,8,6,2,-6,29.5,NotYet
39,114,8,6,2,-6,29.5,NotYet
39,115,8,6,2,-6,29.5,NotYet
39,116,8,6,2,-6,29.5,NotYet
39,113,8,6,2,-6,30.5,NotYet
39,114,8,6,2,-6,30.5,NotYet
39,115,8,6,2,-6,30.5,NotYet
39,116,8,6,2,-6,30.5,NotYet
