a,b,theta,A1,A2,phi1,phi2,status
7.8,6.3,28.5,2,-6,39,35,NotYet
7.8,6.3,28.5,2,-6,39,37,NotYet
7.8,6.3,28.5,2,-6,39,39,NotYet
7.8,6.3,28.5,2,-6,39,41,NotYet
7.8,6.3,28.5,2,-6,39,43,NotYet
7.8,6.3,28.5,2,-6,37,35,NotYet
7.8,6.3,28.5,2,-6,37,37,NotYet
7.8,6.3,28.5,2,-6,37,39,NotYet
7.8,6.3,28.5,2,-6,37,41,NotYet
7.8,6.3,28.5,2,-6,37,43,NotYet
7.8,6.3,28.5,2,-6,41,35,NotYet
7.8,6.3,28.5,2,-6,41,37,NotYet
7.8,6.3,28.5,2,-6,41,39,NotYet
7.8,6.3,28.5,2,-6,41,41,NotYet
7.8,6.3,28.5,2,-6,41,43,NotYet
7.8,6.3,28.5,2,-6,35,35,NotYet
7.8,6.3,28.5,2,-6,35,37,NotYet
7.8,6.3,28.5,2,-6,35,39,NotYet
7.8,6.3,28.5,2,-6,35,41,NotYet
7.8,6.3,28.5,2,-6,35,43,NotYet
7.8,6.3,28.5,2,-6,43,35,NotYet
7.8,6.3,28.5,2,-6,43,37,NotYet
7.8,6.3,28.5,2,-6,43,39,NotYet
7.8,6.3,28.5,2,-6,43,41,NotYet
7.8,6.3,28.5,2,-6,43,43,NotYet
