a,b,theta,A1,A2,R3,R4,phi1,phi2,status
7.7,5.9,26.5,0,0,-0.3,-0.5,0,0,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,0,1,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,0,-1,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,0,2,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,0,-2,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,1,0,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,1,1,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,1,-1,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,1,2,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,1,-2,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,-1,0,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,-1,1,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,-1,-1,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,-1,2,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,-1,-2,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,2,0,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,2,1,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,2,-1,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,2,2,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,2,-2,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,-2,0,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,-2,1,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,-2,-1,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,-2,2,NotYet
7.7,5.9,26.5,0,0,-0.3,-0.5,-2,-2,NotYet
