a,b,theta,phi1,phi2,E,E_p1,E_p2,E_t1,E_t2,E_t3,E_t4,E_m1,E_m2,machine_type,status,file_name,R3,R4
7.7,5.9,26.5,0,1,-42.63421987601488,-9.356933387,-9.36771400901489,-14.23309397,-14.41377292,-12.41656547,-12.45823213,14.8104323,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=1_a=7.7_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.9,26.5,0,-1,-42.420113477395084,-9.356933387,-9.34364900039509,-14.45663186,-14.48452468,-12.12146634,-12.28723566,14.8104323,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-1_a=7.7_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.8,26.5,0,0,-41.84531431435438,-9.189099562,-9.189099562354388,-14.33827719,-14.40226439,-12.12511218,-12.22232603,14.8104323,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=0_a=7.6_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.8,26.5,0,1,-41.99191948694569,-9.189099562,-9.222188164945694,-14.24326591,-14.37501791,-12.26927005,-12.305169900000001,14.8104323,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=1_a=7.6_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.9,26.5,0,0,-42.44965664422922,-9.356933387,-9.35693338722922,-14.382328400000002,-14.46032161,-12.2064814,-12.30752306,14.8104323,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=0_a=7.6_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.8,26.5,0,-1,-41.63787206629502,-9.189099562,-9.15344444429502,-14.39037308,-14.42417704,-11.977352400000001,-12.13375299,14.8104323,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-1_a=7.6_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.9,26.5,0,1,-42.56052510601489,-9.356933387,-9.36771400901489,-14.27601565,-14.43027016,-12.35258455,-12.38909936,14.8104323,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=1_a=7.6_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,6.0,26.5,0,0,-42.50891239952206,-9.317237105,-9.317237104522064,-14.39287056,-14.48342026,-12.25742893,-12.36158304,14.8104323,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=0_a=7.6_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.9,26.5,0,-1,-42.28471563739509,-9.356933387,-9.34364900039509,-14.4498924,-14.48575459,-12.05832629,-12.22048742,14.8104323,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-1_a=7.6_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,6.0,26.5,0,1,-42.589942771357585,-9.317237105,-9.31108750635758,-14.27616625,-14.45100309,-12.40469926,-12.44184157,14.8104323,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=1_a=7.6_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
