a,b,theta,R3,R4,phi1,phi2,status
7.7,5.9,26.5,-0.3,-0.5,0,0,InProgress
7.7,5.9,26.5,-0.3,-0.5,0,1,InProgress
7.7,5.9,26.5,-0.3,-0.5,0,-1,InProgress
7.7,5.9,26.5,-0.3,-0.5,0,2,InProgress
7.7,5.9,26.5,-0.3,-0.5,0,-2,InProgress
7.7,5.9,26.5,-0.3,-0.5,1,0,InProgress
7.7,5.9,26.5,-0.3,-0.5,1,1,InProgress
7.7,5.9,26.5,-0.3,-0.5,1,-1,InProgress
7.7,5.9,26.5,-0.3,-0.5,1,2,InProgress
7.7,5.9,26.5,-0.3,-0.5,1,-2,InProgress
7.7,5.9,26.5,-0.3,-0.5,-1,0,InProgress
7.7,5.9,26.5,-0.3,-0.5,-1,1,InProgress
7.7,5.9,26.5,-0.3,-0.5,-1,-1,InProgress
7.7,5.9,26.5,-0.3,-0.5,-1,2,InProgress
7.7,5.9,26.5,-0.3,-0.5,-1,-2,InProgress
7.7,5.9,26.5,-0.3,-0.5,2,0,InProgress
7.7,5.9,26.5,-0.3,-0.5,2,1,NotYet
7.7,5.9,26.5,-0.3,-0.5,2,-1,NotYet
7.7,5.9,26.5,-0.3,-0.5,2,2,NotYet
7.7,5.9,26.5,-0.3,-0.5,2,-2,NotYet
7.7,5.9,26.5,-0.3,-0.5,-2,0,NotYet
7.7,5.9,26.5,-0.3,-0.5,-2,1,NotYet
7.7,5.9,26.5,-0.3,-0.5,-2,-1,NotYet
7.7,5.9,26.5,-0.3,-0.5,-2,2,NotYet
7.7,5.9,26.5,-0.3,-0.5,-2,-2,NotYet
